Entity,Code,Year,Smoking (deaths),Secondhand smoke (deaths)
Eastern Europe,,2005,538209.802739,63587.284248
Eastern Europe,,2006,499565.412236,59738.3661353
Eastern Europe,,2010,437664.476296,52633.4918551
Eastern Europe,,2016,397900.936423,47902.5374191
Eastern Sub-Saharan Africa,,1990,50916.1620033,21833.7859396
Eastern Sub-Saharan Africa,,1995,56074.8790448,21831.2727431
Eastern Sub-Saharan Africa,,2000,60202.7900073,21045.1832942
Eastern Sub-Saharan Africa,,2005,64340.6408731,19157.3922263
Eastern Sub-Saharan Africa,,2006,65817.9041647,18937.0092663
Eastern Sub-Saharan Africa,,2010,72486.4737154,18153.9112576
Eastern Sub-Saharan Africa,,2016,81554.2452246,16629.2809081
Ecuador,ECU,1990,2199.23380572,662.906790226
Ecuador,ECU,1995,2576.02450298,681.044086959
Ecuador,ECU,2000,2849.37841143,667.383228236
Ecuador,ECU,2005,3070.61272912,645.255466962
Ecuador,ECU,2006,3029.56496904,621.442325869
Ecuador,ECU,2010,2964.9621283,545.436705417
Ecuador,ECU,2016,3016.37412095,589.309192228
Egypt,EGY,1990,28038.4337759,17574.5785141
Egypt,EGY,1995,30188.3686798,14461.6837702
Egypt,EGY,2000,31657.0442729,12864.9691663
Egypt,EGY,2005,36955.6938803,12567.7319958
Egypt,EGY,2006,38497.9103355,12365.3239789
Egypt,EGY,2010,44322.5725735,13349.6617098
Egypt,EGY,2016,50242.6108977,11766.9110899
El Salvador,SLV,1990,1067.69630044,351.337836403
El Salvador,SLV,1995,1065.69868897,351.784123689
El Salvador,SLV,2000,1056.59420364,352.673579959
El Salvador,SLV,2005,1140.29158806,358.007241393
El Salvador,SLV,2006,1141.92354597,361.423550601
El Salvador,SLV,2010,1169.908473,381.788021059
El Salvador,SLV,2016,1304.84325591,413.270716845
England,,1990,118189.510515,6881.17553283
England,,1995,107981.943921,6281.97530635
England,,2000,98069.58186,4753.48616373
England,,2005,91843.2264589,3708.83325822
England,,2006,89826.860151,3569.19493313
England,,2010,85793.1316675,3152.492615
England,,2016,89835.8615839,3269.74132742
Equatorial Guinea,GNQ,1990,114.582029012,68.937413249
Equatorial Guinea,GNQ,1995,115.183281147,64.3716928748
Equatorial Guinea,GNQ,2000,113.798366364,43.8474712077
Equatorial Guinea,GNQ,2005,99.9019956892,30.0820645346
Equatorial Guinea,GNQ,2006,104.782791946,30.7815817008
Equatorial Guinea,GNQ,2010,111.837031066,30.0659000979
Equatorial Guinea,GNQ,2016,130.044179522,28.7576213822
Eritrea,ERI,1990,737.456140411,361.743031701
Eritrea,ERI,1995,529.735653948,289.84514441
Eritrea,ERI,2000,523.720877268,307.248207363
Eritrea,ERI,2005,603.337903413,321.788655552
Eritrea,ERI,2006,612.400007783,326.166187611
Eritrea,ERI,2010,639.819087688,343.885263752
Eritrea,ERI,2016,658.109230281,299.427056177
Estonia,EST,1990,2993.53359915,375.514044966
Estonia,EST,1995,3409.61048553,386.946820689
Estonia,EST,2000,2792.07372785,324.958487049
Estonia,EST,2005,2548.21278348,278.277063363
Estonia,EST,2006,2555.07676912,270.440379062
Estonia,EST,2010,2021.82240306,211.963874393
Estonia,EST,2016,1866.62619873,214.426463206
Ethiopia,ETH,1990,15821.7264418,2666.21499944
Ethiopia,ETH,1995,14920.9792856,2547.55951533
Ethiopia,ETH,2000,12766.6192353,2627.53260006
